
RAxML-NG v. 1.1.0-master released on 04.08.2022 by The Exelixis Lab.
Developed by: Alexey M. Kozlov and Alexandros Stamatakis.
Contributors: Diego Darriba, Tomas Flouri, Benoit Morel, Sarah Lutteropp, Ben Bettisworth.
Latest version: https://github.com/amkozlov/raxml-ng
Questions/problems/suggestions? Please visit: https://groups.google.com/forum/#!forum/raxml

System: Intel(R) Core(TM) i7-7500U CPU @ 2.70GHz, 2 cores, 15 GB RAM

RAxML-NG was called at 12-Dec-2022 12:31:49 as follows:

./../tools/raxml-ng/build/bin/raxml-ng --msa data/language_alignments/morpho.phy --model BIN --prefix output/raxml/interim/pars100rand100bin --threads 2 --seed 2 --tree pars{100},rand{100}

Analysis options:
  run mode: ML tree search
  start tree(s): random (100) + parsimony (100)
  random seed: 2
  tip-inner: OFF
  pattern compression: ON
  per-rate scalers: OFF
  site repeats: ON
  fast spr radius: AUTO
  spr subtree cutoff: 1.000000
  branch lengths: proportional (ML estimate, algorithm: NR-FAST)
  SIMD kernels: AVX2
  parallelization: coarse-grained (auto), PTHREADS (2 threads), thread pinning: OFF

[00:00:00] Reading alignment from file: data/language_alignments/morpho.phy
[00:00:00] Loaded alignment with 46 taxa and 425 sites

Alignment comprises 1 partitions and 260 patterns

Partition 0: noname
Model: BIN+FO
Alignment sites / patterns: 425 / 260
Gaps: 2.81 %
Invariant sites: 39.76 %


NOTE: Binary MSA file created: output/raxml/interim/pars100rand100bin.raxml.rba

Parallelization scheme autoconfig: 2 worker(s) x 1 thread(s)

Parallel reduction/worker buffer size: 1 KB  / 0 KB

[00:00:00] Generating 100 random starting tree(s) with 46 taxa
[00:00:00] Generating 100 parsimony starting tree(s) with 46 taxa
[00:00:00] Data distribution: max. partitions/sites/weight per thread: 1 / 260 / 520
[00:00:00] Data distribution: max. searches per worker: 100

Starting ML tree search with 200 distinct starting trees

[00:00:03] [worker #1] ML tree search #2, logLikelihood: -4148.837204
[00:00:04] [worker #0] ML tree search #1, logLikelihood: -4143.893803
[00:00:07] [worker #1] ML tree search #4, logLikelihood: -4141.014673
[00:00:08] [worker #0] ML tree search #3, logLikelihood: -4143.958868
[00:00:09] [worker #1] ML tree search #6, logLikelihood: -4141.014642
[00:00:10] [worker #0] ML tree search #5, logLikelihood: -4148.837105
[00:00:12] [worker #1] ML tree search #8, logLikelihood: -4143.958664
[00:00:13] [worker #0] ML tree search #7, logLikelihood: -4141.014599
[00:00:15] [worker #1] ML tree search #10, logLikelihood: -4143.893879
[00:00:15] [worker #0] ML tree search #9, logLikelihood: -4152.388653
[00:00:16] [worker #1] ML tree search #12, logLikelihood: -4143.894143
[00:00:18] [worker #0] ML tree search #11, logLikelihood: -4141.014561
[00:00:18] [worker #1] ML tree search #14, logLikelihood: -4146.943548
[00:00:20] [worker #1] ML tree search #16, logLikelihood: -4141.014695
[00:00:20] [worker #0] ML tree search #13, logLikelihood: -4141.014789
[00:00:25] [worker #1] ML tree search #18, logLikelihood: -4145.306327
[00:00:25] [worker #0] ML tree search #15, logLikelihood: -4145.305930
[00:00:27] [worker #1] ML tree search #20, logLikelihood: -4148.770549
[00:00:27] [worker #0] ML tree search #17, logLikelihood: -4141.014571
[00:00:28] [worker #1] ML tree search #22, logLikelihood: -4152.750933
[00:00:30] [worker #0] ML tree search #19, logLikelihood: -4143.893829
[00:00:30] [worker #1] ML tree search #24, logLikelihood: -4143.958480
[00:00:32] [worker #1] ML tree search #26, logLikelihood: -4141.014626
[00:00:33] [worker #0] ML tree search #21, logLikelihood: -4145.316377
[00:00:34] [worker #1] ML tree search #28, logLikelihood: -4143.894326
[00:00:35] [worker #0] ML tree search #23, logLikelihood: -4156.622544
[00:00:36] [worker #1] ML tree search #30, logLikelihood: -4146.943929
[00:00:37] [worker #0] ML tree search #25, logLikelihood: -4143.958446
[00:00:39] [worker #0] ML tree search #27, logLikelihood: -4141.015317
[00:00:39] [worker #1] ML tree search #32, logLikelihood: -4143.958665
[00:00:41] [worker #0] ML tree search #29, logLikelihood: -4167.122505
[00:00:41] [worker #1] ML tree search #34, logLikelihood: -4145.306174
[00:00:43] [worker #0] ML tree search #31, logLikelihood: -4151.167406
[00:00:43] [worker #1] ML tree search #36, logLikelihood: -4146.943641
[00:00:45] [worker #1] ML tree search #38, logLikelihood: -4145.306055
[00:00:46] [worker #0] ML tree search #33, logLikelihood: -4145.306056
[00:00:47] [worker #1] ML tree search #40, logLikelihood: -4143.893832
[00:00:47] [worker #0] ML tree search #35, logLikelihood: -4141.014654
[00:00:49] [worker #1] ML tree search #42, logLikelihood: -4145.306262
[00:00:50] [worker #0] ML tree search #37, logLikelihood: -4157.648490
[00:00:51] [worker #1] ML tree search #44, logLikelihood: -4143.958513
[00:00:51] [worker #0] ML tree search #39, logLikelihood: -4148.770493
[00:00:53] [worker #0] ML tree search #41, logLikelihood: -4145.306825
[00:00:54] [worker #1] ML tree search #46, logLikelihood: -4157.648053
[00:00:55] [worker #0] ML tree search #43, logLikelihood: -4150.706233
[00:00:55] [worker #1] ML tree search #48, logLikelihood: -4164.020314
[00:00:58] [worker #1] ML tree search #50, logLikelihood: -4146.943703
[00:00:58] [worker #0] ML tree search #45, logLikelihood: -4143.893823
[00:00:59] [worker #1] ML tree search #52, logLikelihood: -4164.020942
[00:01:00] [worker #0] ML tree search #47, logLikelihood: -4143.894473
[00:01:03] [worker #0] ML tree search #49, logLikelihood: -4141.015097
[00:01:05] [worker #1] ML tree search #54, logLikelihood: -4157.648063
[00:01:05] [worker #0] ML tree search #51, logLikelihood: -4146.956129
[00:01:08] [worker #1] ML tree search #56, logLikelihood: -4146.943393
[00:01:08] [worker #0] ML tree search #53, logLikelihood: -4145.306283
[00:01:10] [worker #1] ML tree search #58, logLikelihood: -4146.943493
[00:01:11] [worker #0] ML tree search #55, logLikelihood: -4146.943453
[00:01:13] [worker #0] ML tree search #57, logLikelihood: -4148.837190
