id,name,source
1,chaconcolumbian,Lexibank
2,Pama-Nyungan, OSF
3,Tai-Kadai,OSF
4,chacontukanoan,Lexibank
5,Sino-Tibetan,OSF
6,Kadugli-Krongo,OSF
7,Ijoid,OSF
8,carvalhopurus,Lexibank
10,North_Halmahera,OSF
11,robinsonap,Lexibank
12,kaiping_and_klamer2022,Phlorest
13,wu_et_al2020,Phlorest
14,Ta-Ne-Omotic,OSF
15,Chocoan,OSF
16,Algic,OSF
17,Uralic,OSF
18,Sentanic,OSF
19,Sko,OSF
20,Sepik,OSF
21,Eskimo-Aleut,OSF
22,Quechuan,OSF
23,Nuclear_Trans_New_Guinea,OSF
24,Eskimo-Aleut,OSF
28,Cochimi-Yuman,OSF
29,galuciotupi,Lexibank
30,dravlex,Lexibank
31,Anim,OSF
32,oskolskaya_et_al2021,Phlorest
33,Ta-Ne-Omotic,OSF
34,Heibanic,OSF
35,kesslersignificance,SequenceComparison
36,sicoli_and_holton2014,Phlorest
37,Lakes_Plain,OSF
38,dunn_et_al2011,Phlorest
39,mannburmish,Lexibank
41,gray_and_atkinson2003,Phlorest
42,Athapaskan-Eyak-Tlingit,OSF
43,Otomanguean,OSF
44,Tupian,OSF
45,Japonic,OSF
46,Dogon,OSF
47,Afro-Asiatic,OSF
48,Timor-Alor-Pantar,OSF
49,leeainu,Lexibank
50,Uto-Aztecan,OSF
51,Eleman,OSF
52,Eastern_Trans-Fly,OSF
53,zhang_et_al2019,Phlorest
55,Salishan,OSF
56,Gunwinyguan,OSF
57,Nilotic,OSF
59,Lakes_Plain,OSF
60,Central_Sudanic,OSF
61,Chibchan,OSF
62,savelyev_and_robbeets2020,Phlorest
63,chang_et_al2015,Phlorest
64,Algic,OSF
65,felekesemitic,Lexibank
66,chaconbaniwa,Lexibank
67,lee_and_hasegawa2011,Phlorest
68,Nuclear-Macro-Je,OSF
69,Pano-Tacanan,OSF
70,houchinese,SequenceComparison
71,gerarditupi,Lexibank
72,blustaustronesian,SequenceComparison
73,Chibchan,OSF
74,Siouan,OSF
75,Huitotoan,OSF
76,starostinpie,SequenceComparison
77,Surmic,OSF
78,Bosavi,OSF
79,leekoreanic,Lexibank
80,Quechuan,OSF
82,Mongolic,OSF
83,Mande,OSF
84,walker_and_ribeiro2011,Phlorest
86,Tupian,OSF
87,Siouan,OSF
88,Angan,OSF
89,Mande,OSF
91,Sko,OSF
93,pharaocoracholaztecan,Lexibank
94,Pama-Nyungan,OSF
95,dunnielex,SequenceComparison
96,Cariban,OSF
97,lee2015,Phlorest
98,robbeets_et_al2021,Phlorest
100,listsamplesize,SequenceComparison
101,Cariban,OSF
102,Ainu,OSF
103,Bosavi,OSF
104,Indo-European,OSF
105,Indo-European,OSF
106,North_Halmahera,OSF
108,defilippo_et_al2012,Phlorest
109,Afro-Asiatic,OSF
110,science,Other(self-converted)
111,Nuclear_Trans_New_Guinea,OSF
112,birchall_et_al2016,Phlorest
113,Athapaskan-Eyak-Tlingit,OSF
114,hattorijaponic,SequenceComparison
115,Austroasiatic,OSF
116,Mixe-Zoque,OSF
117,yanglalo,Lexibank
118,Kadugli-Krongo,OSF
119,Turkic,OSF
120,Nuclear_Torricelli,OSF
122,zhivlovobugrian,SequenceComparison
123,lieberherrkhobwa,Lexibank
124,egorov_et_al2022,Phlorest
125,Central_Sudanic,OSF
126,Arawakan,OSF
127,Tuu,OSF
128,Tuu,OSF
129,Nilotic,OSF
130,Dravidian,OSF
131,Tai-Kadai,OSF
132,Surmic,OSF
133,Eastern_Trans-Fly,OSF
134,Sino-Tibetan,OSF
135,Cochimi-Yuman,OSF
136,Dravidian,OSF
137,Khoe-Kwadi,OSF
138,gaotb,Lexibank
139,lee_and_hasegawa2013,Phlorest
140,Atlantic-Congo,OSF
141,Tucanoan,OSF
142,greenhill_et_al_subm,Phlorest
143,Heibanic,OSF
144,Otomanguean,OSF
145,Japonic,OSF
146,Tungusic,OSF
148,Timor-Alor-Pantar,OSF
149,Hmong-Mien,OSF
150,Austronesian,OSF
151,ratcliffearabic,Lexibank
152,Kiwaian,OSF
153,Pano-Tacanan,OSF
155,Gunwinyguan,OSF
156,greenhill2015,Phlorest
157,Nuclear_Torricelli,OSF
158,Totonacan,OSF
159,sagartst,Lexibank
160,Uralic,OSF
161,Ainu,OSF
162,davletshinaztecan,Lexibank
163,Salishan,OSF
164,Nuclear-Macro-Je,OSF
165,Atlantic-Congo,OSF
167,Dogon,OSF
168,Totonacan,OSF
169,savelyevturkic,Lexibank
170,leejaponic,Lexibank
171,Khoe-Kwadi,OSF
172,cals,Lexibank
173,birchallchapacuran,Lexibank
174,gray_and_jordan2000,Phlorest
175,Mayan,OSF
176,Austronesian,OSF
177,Angan,OSF
178,lundgrenomagoa,Lexibank
179,robinson_and_holton2012,Phlorest
180,Nakh-Daghestanian,OSF
181,peirosaustroasiatic,Lexibank
182,Ndu,OSF
183,Mongolic,OSF
184,Mixe-Zoque,OSF
185,Tucanoan,OSF
186,Nakh-Daghestanian,OSF
187,grollemund_et_al2015,Phlorest
188,Ndu,OSF
189,sidwellbahnaric,Lexibank
190,Sentanic,OSF
191,Huitotoan,OSF
192,wichmannmixezoquean,Lexibank
194,Eleman,OSF
195,mcelhanonhuon,Lexibank
196,Kiwaian,OSF
197,Austroasiatic,OSF
198,diacl_austronesia,Other(self-converted)
199,kolipakam_et_al2018,Phlorest
200,koile_et_al2022,Phlorest
203,Turkic,OSF
204,ceolin_et_al2020,Phlorest
205,Chocoan,OSF
206,Hmong-Mien,OSF
207,simsrma,Lexibank
209,Uto-Aztecan,OSF
210,Arawakan,OSF
211,Tungusic,OSF
212,heggarty_et_al_subm,Phlorest
213,chaconarawakan,Lexibank
214,Mayan,OSF
215,bowernpny,Lexibank
216,kitchen_et_al2009,Phlorest
217,clarkkimmun,Lexibank
218,Anim,OSF
219,bodtkhobwa,Lexibank
220,bouckaert_et_al2012,Phlorest
221,Sepik,OSF
222,Ijoid,OSF
223,gray_et_al2009,Phlorest
224,gerardi_and_reichert2021,Phlorest
225,diacl_eurasia,Other(self-converted)
226,diacl_southamerica,Other(self-converted)
227,mouton_atlas,Other(self-converted)
228,bouckaert_et_al2018,Phlorest
229,nagaraja_et_al2013,Phlorest
230,saenkoromance,Lexibank
231,nagarajakhasian,Lexibank
232,sagart_et_al2019,Phlorest
233,dunnaslian,Lexibank
234,deepadungpalaung,Lexibank
235,syrjaenenuralic,Lexibank
236,hsiuhmongmien,Lexibank
237,beidasinitic,Lexibank
248,sails,Other(cldf)
254,zhoubizic,Lexibank
256,bodyobjectcolexifications,Lexibank
259,allenbai,Lexibank
267,ewave,Other(cldf)
270,constenlachibchan,Lexibank
271,Indo-European_WALS_BinaryOutgroup_March21,Other(Elena)
272,currie_et_al2013,Phlorest
274,bdpa,Lexibank
275,greenhill_et_al2017,Phlorest
276,wals,Other(cldf)
277,starostinkaren,Lexibank
278,gravinachadic,Lexibank
279,starostintujia,Lexibank
280,abvdoceanic,Lexibank
281,luangthongkumkaren,Lexibank
282,sidwellvietic,Lexibank
283,tuled,Other(cldf)
284,ielexfinal,Lexibank
285,daniellinguafrancas,Lexibank
286,crossandean,Lexibank
287,zhangrgyalrong,Lexibank
288,chaconnorthwestarawakan,Lexibank
289,wangbcd,Lexibank
290,peirosst,Lexibank
291,liusinitic,Lexibank
292,starostinaltaic,Lexibank
293,chechuroborrowing,Lexibank
294,seabor,Lexibank
295,lionnetyotonahua,Lexibank
296,starostinhmongmien,Lexibank
298,zhangst,Lexibank
299,listcognatebenchmark,Lexibank
300,dagloans,Lexibank
301,uralex,Lexibank
302,oskolskayatungusic,Lexibank
303,walworthpolynesian,Lexibank
304,meloniromance,Lexibank
305,grollemundbantu,Lexibank
306,powerma,Lexibank
307,power_et_al2020,Phlorest
308,dyenindoeuropean,Lexibank
309,kitchensemitic,Lexibank
310,utoaztecan,Lexibank
