phlorest_taxa_id,lexibank_taxa_id
AMD,Amonda
ANA,Anambe
API,Apiaka
ARW,Arawete
ASU,Asurini
ASX,AsuriniXingu
AVC,AvaCanoeiro
AWETI,Aweti
CHI,Siriono
EME,Emerillon
GAN,GuaraniMbya
GJJ,Guajajara
GUJ,Guaja
GUK,GuaraniParaguay
GUP,Chiriguano
GUY,Omagua
KAB,Kayabi
KAW,Guayaki
KAY,Kamayura
MAWE,Mawe
MBY,Warazu
NHE,Nheengatu
PAK,Parakana
PAT,Parintintin
SIR,Yuki
SUR,Surui
TAP,Tapirape
TEH,Tenharim
TEM,Tembe
TPT,Xeta
TUP,Tupi
URB,UrubuKaapor
UWW,Urueuwauwau
WAR,Guarayo
WYA,Wayampi
WYJ,WayampiJ
XET,GuaraniAntigo
YUK,Kokama
