phlorest_taxa_id,lexibank_taxa_id
Aztec_Tetelcingo_30,AztecTetelcingo
Aztec_Zacapoaxtla_31,AztecZacapoaxtla
Cahuilla_12,Cahuilla
Chemehuevi_7,Chemehuevi
Classical_Aztec_29,ClassicalAztec
Comanche_5,Comanche
Cora_27,Cora
Cupeno_13,Cupeno
Eudeve_21,Eudeve
Gabrielino_15,Gabrielino
Guarijio_22,Guarijio
Hopi_16,Hopi
Huichol_28,Huichol
Kawaiisu_6,Kawaiisu
Kitanemuk_34,Kitanemuk
Luiseno_14,Luiseno
Mayo_25,Mayo
Mono_1,Mono
Northern_Paiute_2,NorthernPaiute
Northern_Tepehuan_19,NorthernTepehuan
Opata_20,Opata
Pannamint_3,Pannamint
Papago_Pima_17,Papago
Pima_de_Onavas_18,PimaDeOnavas
Pipil_32,Pipil
Serrano_11,Serrano
Shoshoni_Gosiute_Dialect_4,ShoshoniGosiute
Southeastern_Tepehuan_33,SoutheasternTepehuan
Southern_Paiute_8,SouthernPaiute
Southern_Ute_9,SouthernUte
Tarahumara_23,Tarahumara
Tubar_24,Tubar
Tubatulabel_10,Tubatulabel
Yaqui_26,Yaqui
,SanJuanPuebloTewa
,SantaDomingo
,Kiowa
,ProtoKeresan
,SantaAna
,Acoma
,AztecPochutla
