phlorest_taxa_id,lexibank_taxa_id
A11_Londo,a11londo
A121_Mbonge,a121mbonge
A122_Bakundu,a122bakundu
A141_Lefo,a141lefo
A151_Nkongho,a151nkongho
A15A_Mbuu,a15ambuu
A15B_Mienge_NW_Manenguba,a15bmiengenwmanenguba
A15C_Akossi,a15cakossi
A15C_Elung_Central_Manenguba,a15celungcentralmanenguba
A15C_Mkaa,a15cmkaa
A15_Manenguba,a15manenguba
A22_Bakweri,a22bakweri
A24_Duala,a24duala
A27_Malimba,a27malimba
A31_Bubi,a31bubi
A32C_Batanga,a32cbatanga
A33a_Yasa,a33ayasa
A34_Benga,a34benga
A41_Barombi_Kang,a41barombikang
A42_Abo,a42abo
A43a_Basaa,a43abasaa
A44_Tunen,a44tunen
A45_Nyokon,a45nyokon
A462_Yambeta,a462yambeta
A46_Nomaande,a46nomaande
A51_Bafia_maja,a51bafiamaja
A53_Bafia_rikpa,a53bafiarikpa
A54_Tibea,a54tibea
A601_Tuki,a601tuki
A61_Ngoro_Asom,a61ngoroasom
A61_Ngoro_Bisoo,a61ngorobisoo
A61_Ngoro_lunda,a61ngorolunda
A621_Nubaca,a621nubaca
A622_Nugunu,a622nugunu
A62A_Nuasue,a62anuasue
A62A_Nukalonge,a62anukalonge
A62B_Mmala,a62bmmala
A62C_Libie,a62clibie
A63_Mangisa,a63mangisa
A71_Eton,a71eton
A72a_Ewondo,a72aewondo
A74a_Bulu,a74abulu
A75a_Fang_Bitam,a75afangbitam
A75a_Fang_Medouneu,a75afangmedouneu
A75a_Fang_Minvoul,a75afangminvoul
A803_Shiwa,a803shiwa
A81_Kwasio,a81kwasio
A832_Bekol,a832bekol
A83_Mekaa,a83mekaa
A841_Badwe,a841badwe
A84_Njem,a84njem
A85b_Bekwil_Makokou,a85bbekwilmakokou
A85b_Bekwil_Mv,a85bbekwilmv
A86c_Mpiemo,a86cmpiemo
A87_Bomwali,a87bomwali
A91_Kwakum,a91kwakum
A93_Kako,a93kako
Aghem_Grassfields,aghemgrassfields
B11F_Enenga,b11fenenga
B11a_Mpongwe,b11ampongwe
B11b_Orungu,b11borungu
B11c_Galwa,b11cgalwa
B11d_Dyumba,b11ddyumba
B201_Ndasa,b201ndasa
B202_Sigu,b202sigu
B203_Samaye,b203samaye
B204_Ndambomo_Li,b204ndambomoli
B204_Ndambomo_Massoukou,b204ndambomomassoukou
B204_Ndambomo_Mbadi,b204ndambomombadi
B21_Seki,b21seki
B22E_Mwesa,b22emwesa
B22a_Kele,b22akele
B22b_Koya,b22bkoya
B22b_Ngom,b22bngom
B23_Mbangwe,b23mbangwe
B24_Wumbvu,b24wumbvu
B251_Shake,b251shake
B252_Mahongwe,b252mahongwe
B25_Kota,b25kota
B301_Viya,b301viya
B302_Himba,b302himba
B304_Pinzi,b304pinzi
B305_Vove,b305vove
B31_Tsogo,b31tsogo
B32_Kande,b32kande
B404_Ngubi,b404ngubi
B41_Shira,b41shira
