phlorest_taxa_id,lexibank_taxa_id
AICHI,Aichi
AKITA,Akita
AOMORI,Aomori
CHIBA,Chiba
EHIME,Ehime
FUKUI,Fukui
FUKUOKA,Fukuoka
FUKUSHIMA,Fukushima
GIFU,Gifu
GUNMA,Gunma
HACHIJO,Hachijyo
HATERUMA,Hateruma
HIRARA,Hirara
HIROSHIMA,Hiroshima
HOKKAIDO,Hokkaido
HYOGO,Hyogo
IBARAGI,Ibaraki
IKEMA,Ikema
IRAFU,Irafu
ISHIGAKI,Ishigaki
ISHIKAWA,Ishikawa
IWATE,Iwate
KAGAWA,Kagawa
KAGOSHIMA,Kagoshima
KANAGAWA,Kanagawa
KOCHI,Kochi
KUMAMOTO,Kumamoto
KYOTO,Kyoto
MIDDLE_JAPANESE,MiddleJapanese
MIE,Mie
MIYAGI,Miyagi
MIYAZAKI,Miyazaki
NAGANO,Nagano
NAGASAKI,Nagasaki
NARA,Nara
NAZE,Naze
NIGATA,Niigata
OITA,Oita
OKAYAMA,Okayama
OKINAWA,Okinawa
OLD_JAPANESE,OldJapanese
OSAKA,Osaka
SAGA,Saga
SAITAMA,Saitama
SHIGA,Shiga
SHIMANE,Shimane
SHIZUOKA,Shizuoka
TAKETOMI,Taketomi
TARAMA,Tarama
TOCHIGI,Tochigi
TOKUSHIMA,Tokushima
TOKYO,Tokyo
TOTTORI,Tottori
TOYAMA,Toyama
WAKAYAMA,Wakayama
YAMAGATA,Yamagata
YAMAGUCHI,Yamaguchi
YAMANASHI,Yamanashi
YONAGUNI,Yonaguni
