phlorest_taxa_id,lexibank_taxa_id
LSB,Brazilian_SL
CzSL,Czech_SL
ASL,American_SL
LSE1845,Spanish_1845
B1620,Bonet_1620
RZhIa,Russian_SL
NTS1893,Norwegian_1893
HZJ,Croatian_SL
TID,Turkish_SL
LSFB,French-Belgian_SL
DTS,Danish_1808
VGT,Flemish_SL
DGS,German_SL
RZhIa1835,Russian_1835
LIS,Italian_SL
ITM,Icelandic1857
BZE,Bulgarian_SL
LSM,Mexican_SL
ASL1821,American_1821
MJ1827,Hungary_1827
NGT1820,Dutch_1820
DGS1820,German_1820
OGS1839,Austrian_1839
LGP,Portuguese_SL
NZSL,NewZealand_SL
NTS1900,Norwegian_1900
LSF1803,French_1803
Libras1875,Brazilian_1875
ASL1886,American_1886
LSQ,Quebec_SL
LIS1897,Italian_1897
IndSL,Indian_SL
NGT,Dutch_SL
IS,International_MA
OGS,Austrian_SL
ITM,Icelandic_SL
DTS1967,Danish_1967
NTS1955,Norwegian_1955
LSE1859,Spanish_1859
LSE,Spanish_SL
PJM,Polish_SL
Y1593,Yebra_1593
ASL1918,American_1918
DTS1871,Danish_1871
STS1866,Swedish_1866
DTS1907,Danish_1907
NGT1790,Dutch_1790
DTS1926,Danish_1926
AlbSL,Albanian_SL
LIU,Jordanian_SL
LSF1856,French_1856
EVK,Estonian_SL
PJM1879,Polish_1879
Auslan,Australian_SL
STS,Swedish_SL
LSF1815,French_1815
DTS,Danish_SL
DGS1909,German_1909
LSF1800,French_1800
ENG,Greek_SL
NTS,Norwegian_SL
EVK1988,Estonian_1988
LSC,Catalan_SL
LSL,Latvian_SL
IrSL,Irish_SL
BSL,British_SL
UZhM,Ukrainian_SL
FinSL,Finnish_SL
LSE1818,Spanish_1815
ZEA,Afghan_SL
LGK,Lithuanian_SL
PSL,Pakistan_SL
DGS1916,German_1916
OGS1823,Austrian_1823
LSF,French_SL
OGS1786,Austrian_1786
DTS1808,Danish_1808
ITM1857,Icelandic_1857
