phlorest_taxa_id,lexibank_taxa_id
BodicTshangla
BurmishAchang,Achang
BurmishAtsi,Atsi
BurmishBola,Bola
BurmishLashi,Lashi
BurmishMaru,Maru
BurmishOldBurmese,OldBurmese
BurmishRangoon,Rangoon
BurmishXiandao,Xiandao
ChepangChepang,Chepang
ChinHakha,Hakha
DengDarangTaraon,DarangTaraon
DengYidu,Yidu
GaroGaro,Garo
JingphoJingpho,Jingpho
Karbi
KhroskyabsWobzi,WobziKhroskyabs
KirantiBahing,Bahing
KirantiBantawa,Bantawa
KirantiHayu,Hayu
KirantiKhaling,Khaling
KirantiKulung,Kulung
KirantiLimbu,Limbu
KirantiThulung,Thulung
LoloishLisu,Lisu
MizoLushai,Lushai
NagaUkhrul,Ukhrul
NungicDulong,Dulong
QiangicZhaba,Zhaba
Rabha,Rabha
SiniticBeijing,Beijing
SiniticChaozhou,Chaozhou
SiniticGuangzhou,Guangzhou
SiniticJieyang,Jieyang
SiniticLonggang,Longgang
SiniticOldChinese,OldChinese
SiniticXingning,Xingning
Tangut,Tangut
TaniBokar,Bokar
TibetanAlike,Alike
TibetanBatang,Batang
TibetanLhasa,Lhasa
TibetanOldTibetan,OldTibetan
TibetanXiahe,Xiahe
TibetoKinauriBunan,Bunan
TibetoKinauriByangsi,Byangsi
TibetoKinauriRongpo,Rongpo
rGyalrongDaofu,Daofu
rGyalrongJaphug,Japhug
rGyalrongMaerkang,MaerkangrGyalrong
,MotuoMenba
,Mikir
