phlorest_taxa_id,lexibank_taxa_id
Afghan,Pashto
AlbanianC
Albanian_G,Alb
Ancient_Greek,ClG
Armenian_Mod,Arm
Breton_ST,Bre
Bulgarian,Blg
Byelorussian,BelR
Catalan,Cat
Czech,Cze
Danish,Da
Dutch_List,Dut
English_ST,E
Faroese,Far
French,Fr
German_ST,Ger
Gothic,Got
Greek_Mod,Grk
Gujarati,Guj
Hindi,Hin
Icelandic_ST,Ice
Irish_A,Ir
Italian,It
Kashmiri,Kashm
Latin,Lat
Latvian,Latv
Lithuanian_ST,Lith
Macedonian,Mac
Marathi,Mar
Nepali_List,Nepali
Old_Church_Slavonic,OCS
Old_English,OE
Persian_List,Farsi
Polish,Po
Portuguese_ST,Ptg-E
Romanian_List,Rm
Russian,Rus
Scots_Gaelic,ScGae
Serbocroatian,SC
Slovak,Slvk
Slovenian,Slo
Spanish,Sp
Swedish_List,Swe
Ukrainian,Ukr
Vedic_Sanskrit,Sanskr
Welsh_N,Wel
